date,coupon,price
19960416,6.5,94.40491935
19960416,7,96.95516129
19960416,7.5,99.32290323
19960416,8,101.3308065
19960416,8.5,102.9682258
19960416,9,104.6043548
19960416,9.5,106.4845161
19960417,5.5,89.31
19960417,6,91.45862903
19960417,6.5,94.14649194
19960417,7,96.73207661
19960417,7.5,99.12852823
19960417,8,101.1641331
19960417,8.5,102.8695968
19960417,9,104.5707056
19960417,9.5,106.4825806
19960418,5.5,89.31
19960418,6,91.20403226
19960418,6.5,93.89193548
19960418,7,96.50282258
19960418,7.5,98.89818548
19960418,8,100.9602823
19960418,8.5,102.7887097
19960418,9,104.5272177
19960418,9.5,106.4506452
19960419,5.5,89.65032258
19960419,6,91.57056452
19960419,6.5,94.20564516
19960419,7,96.7827621
19960419,7.5,99.14667339
19960419,8,101.1521774
19960419,8.5,102.9124194
19960419,9,104.6241935
19960419,9.5,106.4927621
19960422,5.5,90
19960422,6,91.82532258
19960422,6.5,94.47564516
19960422,7,97.01669355
19960422,7.5,99.34576613
19960422,8,101.3389919
19960422,8.5,103.0302419
19960422,9,104.6527823
19960422,9.5,106.5629032
19960423,5.5,89.84
19960423,6,91.69072581
19960423,6.5,94.34546371
19960423,7,96.91592742
19960423,7.5,99.30826613
19960423,8,101.3082661
19960423,8.5,102.9565524
19960423,9,104.6120968
19960423,9.5,106.5309677
19960424,5.5,89.53
19960424,6,91.38008065
19960424,6.5,94.06822581
19960424,7,96.64745968
19960424,7.5,99.06721774
19960424,8,101.0981452
19960424,8.5,102.8330242
19960424,9,104.4983468
19960424,9.5,106.4690323
19960425,5.5,89.59
19960425,6,91.48641129
19960425,6.5,94.17185484
19960425,7,96.71927419
19960425,7.5,99.07610887
19960425,8,101.1379234
19960425,8.5,102.8738105
19960425,9,104.5725605
19960425,9.5,106.4670968
19960426,5.5,89.71964718
19960426,6,91.61491935
19960426,6.5,94.30241935
19960426,7,96.82862903
19960426,7.5,99.18495968
19960426,8,101.2159476
19960426,8.5,102.9586694
19960426,9,104.6272681
19960426,9.5,106.4886391
19960429,5.5,89.41859879
19960429,6,91.33467742
19960429,6.5,94.02217742
19960429,7,96.58417339
19960429,7.5,98.97177419
19960429,8,101.0405645
19960429,8.5,102.8104839
19960429,9,104.5662903
19960429,9.5,106.4191935
19960430,5.5,89.22252016
19960430,6,91.00504032
19960430,6.5,93.6997379
19960430,7,96.30044355
19960430,7.5,98.7246875
